year,rank,location,mentions
1930,1,Västergötland,19
1930,2,Stockholm,11
1930,3,Foreign,10
1930,4,Gästrikland,3
1930,5,Lappland,2
1931,1,Foreign,29
1931,2,Stockholm,21
1931,3,Skåne,7
1931,4,Uppland,2
1931,5,Dalarna,2
1931,6,Västergötland,2
1931,7,Småland,2
1931,8,Bergslagen,2
1931,9,Värmland,1
1932,1,Foreign,87
1932,2,Stockholm,49
1932,3,Västergötland,16
1932,4,Södermanland,5
1932,5,Uppland,4
1933,1,Stockholm,92
1933,2,Foreign,56
1933,3,Västergötland,37
1933,4,Gotland,36
1933,5,Södermanland,12
1933,6,Dalarna,8
1933,7,Uppland,6
1933,8,Skåne,5
1933,9,Östergötland,4
1934,1,Foreign,165
1934,2,Stockholm,94
1934,3,Skåne,19
1934,4,Västergötland,9
1934,5,Gästrikland,8
1934,6,Jämtland,7
1934,7,Bohuslän,7
1934,8,Uppland,5
1935,1,Foreign,164
1935,2,Stockholm,92
1935,3,Västergötland,28
1935,4,Skåne,25
1935,5,Västmanland,22
1935,6,Lappland,8
1936,1,Foreign,353
1936,2,Stockholm,101
1936,3,Västergötland,12
1936,4,Värmland,10
1936,5,Norrland,9
1936,6,Västerbotten,9
1937,1,Foreign,156
1937,2,Stockholm,56
1937,3,Västergötland,14
1937,4,Blekinge,11
1937,5,Uppland,5
1938,1,Foreign,218
1938,2,Stockholm,192
1938,3,Småland,23
1938,4,Västergötland,15
1938,5,Skåne,11
1938,6,Gotland,10
1939,1,Foreign,293
1939,2,Stockholm,192
1939,3,Västergötland,11
1939,4,Bohuslän,10
1940,1,Foreign,172
1940,2,Stockholm,125
1940,3,Bohuslän,24
1940,4,Västergötland,21
1940,5,Småland,9
1940,6,Dalarna,8
1940,7,Norrland,7
1940,8,Uppland,6
1940,9,Värmland,5
1941,1,Foreign,216
1941,2,Stockholm,98
1941,3,Västergötland,17
1941,4,Västerbotten,13
1941,5,Skåne,7
1941,6,Värmland,6
1941,7,Dalarna,6
1941,8,Östergötland,5
1942,1,Foreign,224
1942,2,Stockholm,88
1942,3,Västergötland,20
1942,4,Hälsingland,9
1942,5,Medelpad,8
1942,6,Skåne,8
1943,1,Foreign,184
1943,2,Stockholm,130
1943,3,Västergötland,29
1943,4,Gästrikland,21
1943,5,Öland,19
1943,6,Västmanland,16
1943,7,Värmland,11
1943,8,Södermanland,6
1944,1,Stockholm,109
1944,2,Foreign,99
1944,3,Skåne,45
1944,4,Västergötland,19
1944,5,Uppland,10
1944,6,Ångermanland,7
1944,7,Blekinge,5
1944,8,Jämtland,5
1944,9,Västmanland,4
1944,10,Småland,4
1945,1,Foreign,327
1945,2,Stockholm,71
1945,3,Skåne,58
1945,4,Västergötland,34
1945,5,Västerbotten,14
1945,6,Södermanland,14
1945,7,Ångermanland,9
1945,8,Uppland,8
1945,9,Gästrikland,8
1945,10,Dalarna,8
1946,1,Foreign,160
1946,2,Stockholm,135
1946,3,Västergötland,32
1946,4,Västerbotten,30
1946,5,Skåne,25
1946,6,Uppland,24
1946,7,Östergötland,12
1946,8,Medelpad,8
1946,9,Halland,8
1947,1,Foreign,133
1947,2,Stockholm,87
1947,3,Västergötland,18
1947,4,Bohuslän,12
1947,5,Närke,9
1947,6,Östergötland,7
1947,7,Skåne,6
1947,8,Öland,5
1947,9,Västerbotten,5
1948,1,Stockholm,133
1948,2,Foreign,132
1948,3,Västergötland,14
1948,4,Dalarna,12
1948,5,Skåne,9
1948,6,Värmland,6
1948,7,Uppland,6
1949,1,Foreign,124
1949,2,Stockholm,73
1949,3,Blekinge,36
1949,4,Ångermanland,27
1949,5,Västergötland,22
1949,6,Skåne,22
1949,7,Dalarna,11
1949,8,Jämtland,9
1949,9,Västmanland,9
1950,1,Foreign,144
1950,2,Stockholm,69
1950,3,Skåne,24
1950,4,Västergötland,19
1950,5,Dalarna,19
1950,6,Östergötland,8
1950,7,Västerbotten,7
1951,1,Foreign,130
1951,2,Stockholm,102
1951,3,Västerbotten,24
1951,4,Västergötland,12
1951,5,Dalarna,7
1951,6,Skåne,7
1951,7,Uppland,5
1951,8,Hälsingland,5
1951,9,Jämtland,5
1952,1,Foreign,158
1952,2,Stockholm,104
1952,3,Västergötland,23
1952,4,Uppland,8
1952,5,Halland,6
1952,6,Skåne,5
1953,1,Foreign,129
1953,2,Stockholm,123
1953,3,Västergötland,15
1953,4,Södermanland,10
1953,5,Gästrikland,7
1953,6,Gotland,7
1953,7,Dalarna,6
1953,8,Skåne,6
1954,1,Foreign,397
1954,2,Stockholm,209
1954,3,Västergötland,53
1954,4,Skåne,23
1954,5,Dalarna,20
1954,6,Uppland,13
1955,1,Foreign,272
1955,2,Stockholm,163
1955,3,Skåne,25
1955,4,Västergötland,24
1955,5,Östergötland,13
1955,6,Dalarna,10
1956,1,Foreign,297
1956,2,Stockholm,174
1956,3,Västergötland,33
1956,4,Skåne,19
1957,1,Stockholm,113
1957,2,Foreign,103
1957,3,Västergötland,29
1957,4,Uppland,8
1957,5,Skåne,8
1957,6,Närke,6
1957,7,Östergötland,5
1958,1,Foreign,179
1958,2,Stockholm,89
1958,3,Västergötland,19
1958,4,Skåne,17
1958,5,Västmanland,6
1958,6,Uppland,6
1959,1,Stockholm,132
1959,2,Foreign,76
1959,3,Västergötland,18
1959,4,Dalarna,10
1959,5,Västerbotten,5
1959,6,Västmanland,4
1959,7,Bohuslän,4
1959,8,Uppland,4
1960,1,Foreign,48
1960,2,Stockholm,47
1960,3,Västmanland,9
1960,4,Småland,6
1960,5,Dalarna,6
1960,6,Halland,3
1960,7,Hälsingland,3
1960,8,Västerbotten,2
1961,1,Foreign,88
1961,2,Stockholm,25
1961,3,Uppland,8
1961,4,Västergötland,4
1961,5,Dalarna,4
1961,6,Skåne,3
1962,1,Foreign,8
1962,2,Stockholm,7
1962,3,Uppland,5
1962,4,Västergötland,3
1963,1,Skåne,1
1964,1,Foreign,3
1964,2,Skåne,2
1964,3,Stockholm,2
1964,4,Uppland,1
